Pais,Año,Codigo_comida,Comida,Unidad,Valor
Pakistan,2019,FG9,Vegetables and their products,g/cap/d,102.7
Pakistan,2019,FG10,Fruits and their products,g/cap/d,44.2
Pakistan,2019,FG11,Fats and oils,g/cap/d,34.4
Pakistan,2019,FG12,Sweets and sugars,g/cap/d,55.9
Peru,2019,FG9,Vegetables and their products,g/cap/d,150
Peru,2019,FG10,Fruits and their products,g/cap/d,164.6
Peru,2019,FG11,Fats and oils,g/cap/d,18.1
Peru,2019,FG12,Sweets and sugars,g/cap/d,51.9
Peru,2019,FG17,Food additives,g/cap/d,0
Peru,2023,FG9,Vegetables and their products,g/cap/d,149.5
Peru,2023,FG10,Fruits and their products,g/cap/d,149.5
Peru,2023,FG11,Fats and oils,g/cap/d,17.8
Peru,2023,FG12,Sweets and sugars,g/cap/d,49.7
Peru,2023,FG17,Food additives,g/cap/d,0
Samoa,2018,FG9,Vegetables and their products,g/cap/d,67.1
Samoa,2018,FG10,Fruits and their products,g/cap/d,91.3
Samoa,2018,FG11,Fats and oils,g/cap/d,10.7
Samoa,2018,FG12,Sweets and sugars,g/cap/d,131.4
Samoa,2018,FG17,Food additives,g/cap/d,0.1
Senegal,2019,FG9,Vegetables and their products,g/cap/d,101
Senegal,2019,FG10,Fruits and their products,g/cap/d,31.4
Senegal,2019,FG11,Fats and oils,g/cap/d,44.8
Senegal,2019,FG12,Sweets and sugars,g/cap/d,51
Senegal,2019,FG17,Food additives,g/cap/d,0.2
Senegal,2022,FG9,Vegetables and their products,g/cap/d,102.2
Senegal,2022,FG10,Fruits and their products,g/cap/d,41.8
Senegal,2022,FG11,Fats and oils,g/cap/d,46.5
Senegal,2022,FG12,Sweets and sugars,g/cap/d,42
Senegal,2022,FG17,Food additives,g/cap/d,0.1
Solomon Islands,2013,FG9,Vegetables and their products,g/cap/d,108.4
Solomon Islands,2013,FG10,Fruits and their products,g/cap/d,64.3
Solomon Islands,2013,FG11,Fats and oils,g/cap/d,3.2
Solomon Islands,2013,FG12,Sweets and sugars,g/cap/d,34.6
Solomon Islands,2013,FG17,Food additives,g/cap/d,0.1
Somalia,2022,FG9,Vegetables and their products,g/cap/d,132
Somalia,2022,FG10,Fruits and their products,g/cap/d,52.2
Somalia,2022,FG11,Fats and oils,g/cap/d,33
Somalia,2022,FG12,Sweets and sugars,g/cap/d,95.6
Somalia,2022,FG17,Food additives,g/cap/d,0.2
Timor-Leste,2014,FG9,Vegetables and their products,g/cap/d,145.8
Timor-Leste,2014,FG10,Fruits and their products,g/cap/d,61.5
Timor-Leste,2014,FG11,Fats and oils,g/cap/d,31.2
Timor-Leste,2014,FG12,Sweets and sugars,g/cap/d,45.8
Timor-Leste,2014,FG17,Food additives,g/cap/d,8
Togo,2019,FG9,Vegetables and their products,g/cap/d,73.9
Togo,2019,FG10,Fruits and their products,g/cap/d,54.8
Togo,2019,FG11,Fats and oils,g/cap/d,18.3
Togo,2019,FG12,Sweets and sugars,g/cap/d,8.4
Togo,2019,FG17,Food additives,g/cap/d,0.2
Togo,2022,FG9,Vegetables and their products,g/cap/d,73.9
Togo,2022,FG10,Fruits and their products,g/cap/d,34.8
Togo,2022,FG11,Fats and oils,g/cap/d,17.2
Togo,2022,FG12,Sweets and sugars,g/cap/d,8.9
Togo,2022,FG17,Food additives,g/cap/d,0.1
Tonga,2016,FG9,Vegetables and their products,g/cap/d,80.7
Tonga,2016,FG10,Fruits and their products,g/cap/d,157.1
Tonga,2016,FG11,Fats and oils,g/cap/d,15.9
Tonga,2016,FG12,Sweets and sugars,g/cap/d,93.8
Tonga,2016,FG17,Food additives,g/cap/d,0.4
United Republic of Tanzania,2018,FG9,Vegetables and their products,g/cap/d,111.1
United Republic of Tanzania,2028,FG10,Fruits and their products,g/cap/d,20.7
United Republic of Tanzania,2018,FG11,Fats and oils,g/cap/d,18.9
United Republic of Tanzania,2018,FG12,Sweets and sugars,g/cap/d,19.7
United Republic of Tanzania,2018,FG17,Food additives,g/cap/d,0
Uruguay,2017,FG9,Vegetables and their products,g/cap/d,110.6
Uruguay,2017,FG10,Fruits and their products,g/cap/d,108.3
Uruguay,2017,FG11,Fats and oils,g/cap/d,28.8
Uruguay,2017,FG12,Sweets and sugars,g/cap/d,73.9
Uruguay,2017,FG17,Food additives,g/cap/d,1
