"Pais","Año","Sexo","Prev.cardiac","Prev.diab","Prev.hiper","Region","Media.obes","Porcentaje.gastos","Gasto.total","Porcentaje.gastos_log"
"Barbados",2007,"Women",2.0779042459971,2.79086752205026,-0.0114523559159685,"Americas",1.88714309343011,1641.30981,5.64,1.08059860935486
"Barbados",2007,"Men",1.5077887780699,0.874290030376491,1.31897026751355,"Americas",-0.365228124455085,1641.30981,5.64,1.08059860935486
"Barbados",2008,"Women",2.05538981330142,2.9683061730815,-0.0370374063665356,"Americas",1.99181655988278,25.52277112,6.1,-0.925417058458896
"Barbados",2008,"Men",1.52379904132016,1.01373054938864,1.29338521706298,"Americas",-0.28829943224288,25.52277112,6.1,-0.925417058458896
"Barbados",2009,"Men",1.25262520751889,1.15395783910622,1.26780016661241,"Americas",-0.211370740030676,327.1618128,6.21,0.29763571469741
"Barbados",2009,"Women",2.05901713856906,3.14661705670298,-0.0626224568171036,"Americas",2.09649002633546,327.1618128,6.21,0.29763571469741
"Barbados",2010,"Women",2.02862265442989,3.33015918250335,-0.0882075072676716,"Americas",2.20116349278813,154.9630863,6.17,-0.0640468462891413
"Barbados",2010,"Men",1.13930256295065,1.30037407377576,1.26780016661241,"Americas",-0.13696430002215,154.9630863,6.17,-0.0640468462891413
"Barbados",2012,"Women",2.11943086630246,3.70896658914448,-0.113792557718239,"Americas",2.41177155179531,260.0043858,7.43,0.186309314069722
"Barbados",2012,"Women",2.14257069990635,3.70896658914448,-0.113792557718239,"Americas",2.41177155179531,260.0043858,7.43,0.186309314069722
"Barbados",2012,"Men",1.13142251150716,1.60327292542873,1.24221511616185,"Americas",0.00932632779122206,260.0043858,7.43,0.186309314069722
"Barbados",2013,"Men",1.23223713791114,1.76333006687433,1.21663006571128,"Americas",0.0812105155960688,263.0372838,7.57,0.191926505012686
"Barbados",2013,"Women",2.28253542316447,3.90910606817117,-0.139377608168807,"Americas",2.51770614434982,263.0372838,7.57,0.191926505012686
"Barbados",2014,"Men",1.27563996094114,1.93018029801328,1.21663006571128,"Americas",0.154355829502755,294.9056584,7.47,0.24732985665144
"Barbados",2014,"Men",1.09890166428007,1.93018029801328,1.21663006571128,"Americas",0.154355829502755,294.9056584,7.47,0.24732985665144
"Barbados",2014,"Women",2.2582698679258,4.11529330020463,-0.139377608168807,"Americas",2.62237961080249,294.9056584,7.47,0.24732985665144
"Canada",2000,"Men",0.944802880496329,-0.476875153158289,2.11210683148115,"Americas",-0.0385964640786756,3787.49456,8.67,1.48700122760853
"Canada",2000,"Men",0.944802880496329,-0.476875153158289,0.0908878458863026,"Americas",-0.0385964640786756,3787.49456,8.67,1.48700122760853
"Canada",2000,"Women",0.916909999990018,-0.899902229730607,0.193228047688573,"Americas",-0.101652769170646,3787.49456,8.67,1.48700122760853
"Canada",2000,"Women",0.916909999990018,-0.899902229730607,-1.67448063520287,"Americas",-0.101652769170646,3787.49456,8.67,1.48700122760853
"Canada",2001,"Men",0.840861249551287,-0.426486746985904,-0.0370374063665356,"Americas",0.0408544803372075,3665.089703,9.1,1.47103271069782
"Canada",2001,"Women",0.844613655000567,-0.868143897774608,0.0653027954357346,"Americas",-0.0385964640786756,3665.089703,9.1,1.47103271069782
"Canada",2001,"Women",0.844613655000567,-0.868143897774608,-1.77682083700514,"Americas",-0.0385964640786756,3665.089703,9.1,1.47103271069782
"Canada",2001,"Men",0.840861249551287,-0.426486746985904,2.00976662967888,"Americas",0.0408544803372075,3665.089703,9.1,1.47103271069782
"Canada",2002,"Women",0.824850986301028,-0.838161711180871,-1.85357598835684,"Americas",0.0194153366059372,3895.856308,9.37,1.50071293095441
