Zona,Indicador,Edad,Sexo,Año,Valor,Minimo valor,Maximo valor
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2008,"62,60","50,10","74,50"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2009,"63,20","51,20","74,70"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2010,"63,70","52,30","74,60"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2011,"64,10","53,20","74,40"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2012,"64,50","54,10","74,20"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2013,"64,80","54,80","74,00"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2014,"65,00","55,10","74,00"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2015,"65,10","55,30","74,20"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2016,"65,20","55,20","74,40"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2017,"65,20","55,00","74,60"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2018,"65,10","54,20","75,20"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2019,"65,10","52,90","76,10"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2000,"41,80","29,10","56,10"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2001,"42,50","29,90","56,50"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2002,"43,20","30,70","57,00"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2003,"43,90","31,60","57,40"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2004,"44,60","32,40","57,80"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2005,"45,30","33,30","58,00"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2006,"45,90","34,00","58,30"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2007,"46,50","35,00","58,50"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2008,"47,10","35,80","58,80"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2009,"47,70","36,70","59,20"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2010,"48,30","37,50","59,40"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2011,"48,80","38,30","59,60"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2012,"49,40","39,00","59,80"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2013,"49,90","39,70","59,90"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2014,"50,40","40,30","60,10"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2015,"50,80","40,90","60,60"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2016,"51,30","41,30","61,10"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2017,"51,70","41,50","61,70"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2018,"52,10","41,40","62,60"
Argentina,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2019,"52,50","41,00","63,60"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2000,"24,10","18,20","30,30"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2001,"23,60","17,90","29,70"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2002,"23,10","17,60","29,10"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2003,"22,60","17,20","28,40"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2004,"22,10","16,80","27,80"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2005,"21,60","16,40","27,30"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2006,"21,20","16,10","26,90"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2007,"20,70","15,70","26,40"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2008,"20,30","15,30","26,00"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2009,"19,90","14,80","25,60"
Argentina,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2010,"19,50","14,30","25,50"
